CustomerID,Gender,PartnerATT,DependentsATT,Landline,InternetService,PaymentMethod,Contract,StreamingTV,StreamingMovies,MonthlyCharges,TotalCharges,TenureMonths,Churn
C00001,Female,Yes,No,Yes,ATT,Electronic,TwoYear,No,No,52.49,3264.64,60,No
C00002,Female,Yes,Yes,Yes,None,Electronic,Month-to-Month,Yes,No,46.91,102.09,2,No
C00003,Male,Yes,No,Yes,ATT,BankTransfer,TwoYear,No,No,93.53,1318.68,14,Yes
C00004,Male,No,Yes,No,None,CreditCard,Month-to-Month,No,No,58.58,2542.81,43,Yes
C00005,Male,No,No,No,ATT,Electronic,Month-to-Month,No,No,100.07,5248.87,52,Yes
C00006,Male,No,Yes,No,ATT,Electronic,TwoYear,No,No,85.21,3346.35,37,No
C00007,Female,No,Yes,No,ATT,MailedCheck,OneYear,Yes,Yes,96.46,2543.02,25,Yes
C00008,Female,No,No,Yes,None,BankTransfer,TwoYear,No,No,23.21,1662.6,71,No
C00009,Male,Yes,No,Yes,ATT,MailedCheck,Month-to-Month,No,No,56.1,2914.76,51,Yes
C00010,Male,No,No,Yes,ATT,BankTransfer,Month-to-Month,Yes,Yes,109.03,2437.24,22,No
C00011,Male,No,No,No,None,BankTransfer,TwoYear,Yes,No,68.18,4325.45,62,No
C00012,Female,No,No,Yes,ATT,BankTransfer,TwoYear,No,Yes,86.87,1818.7,19,No
C00013,Female,No,No,No,ATT,BankTransfer,TwoYear,No,No,84.11,3247.26,37,No
C00014,Female,Yes,No,No,None,BankTransfer,OneYear,No,No,55.92,758.73,12,No
C00015,Female,No,No,Yes,None,MailedCheck,OneYear,Yes,Yes,65.37,1280.82,19,Yes
C00016,Female,Yes,No,No,Other,CreditCard,Month-to-Month,No,No,39.8,1238.03,27,No
C00017,Male,No,No,No,ATT,Electronic,OneYear,Yes,Yes,93.81,2795.25,28,No
C00018,Male,Yes,No,No,ATT,Electronic,TwoYear,No,No,98.24,1744.86,16,No
C00019,Female,Yes,No,No,ATT,Electronic,Month-to-Month,No,No,106.32,4672.54,43,Yes
C00020,Female,No,Yes,Yes,ATT,CreditCard,TwoYear,No,Yes,72.82,3368.14,46,No
C00021,Male,Yes,No,No,ATT,Electronic,Month-to-Month,Yes,No,103.49,7535.56,72,No
C00022,Male,No,No,No,ATT,BankTransfer,Month-to-Month,No,Yes,73.55,3489.51,45,Yes
C00023,Female,Yes,No,Yes,None,CreditCard,TwoYear,No,No,42.54,1367.28,32,No
C00024,Male,Yes,No,Yes,ATT,BankTransfer,TwoYear,Yes,No,79.06,5232.26,65,No
C00025,Male,No,No,Yes,None,CreditCard,Month-to-Month,Yes,No,51.31,613.07,11,No
C00026,Female,Yes,No,Yes,Other,CreditCard,OneYear,Yes,No,76.29,612.25,7,No
C00027,Female,Yes,No,No,ATT,Electronic,TwoYear,No,Yes,66.35,1213.5,18,No
C00028,Female,No,No,Yes,ATT,BankTransfer,OneYear,Yes,No,84.19,4424.6,51,No
C00029,Male,No,No,Yes,None,BankTransfer,Month-to-Month,Yes,Yes,76.93,1052.72,12,No
C00030,Male,No,No,Yes,ATT,MailedCheck,TwoYear,No,Yes,116.7,2188.51,18,No
C00031,Male,No,Yes,Yes,ATT,Electronic,OneYear,No,No,102.88,4533.18,43,Yes
C00032,Female,No,No,No,Other,BankTransfer,Month-to-Month,Yes,Yes,65.16,1509.08,22,No
C00033,Male,Yes,No,Yes,None,CreditCard,OneYear,No,No,61.02,3651.2,59,No
C00034,Male,No,No,No,ATT,BankTransfer,OneYear,No,Yes,99.17,2857.79,27,No
C00035,Female,Yes,Yes,Yes,ATT,Electronic,Month-to-Month,No,No,123.63,5865.13,46,Yes
C00036,Male,No,Yes,Yes,ATT,BankTransfer,OneYear,No,No,98.48,1911.12,18,Yes
C00037,Female,Yes,No,No,ATT,Electronic,Month-to-Month,Yes,No,130.0,5357.42,41,No
C00038,Female,No,No,No,ATT,CreditCard,Month-to-Month,Yes,No,85.88,6002.96,69,No
C00039,Male,Yes,Yes,No,ATT,CreditCard,TwoYear,Yes,No,71.56,4741.51,66,No
C00040,Male,No,No,No,ATT,MailedCheck,TwoYear,No,No,87.23,3416.58,38,No
C00041,Male,No,Yes,Yes,ATT,CreditCard,OneYear,Yes,No,79.42,4315.65,53,No
C00042,Male,No,No,Yes,ATT,MailedCheck,Month-to-Month,Yes,No,77.62,264.3,3,Yes
C00043,Female,No,Yes,Yes,None,BankTransfer,TwoYear,No,No,22.37,1085.86,46,No
C00044,Female,Yes,No,No,Other,CreditCard,Month-to-Month,Yes,No,104.03,7668.09,72,Yes
C00045,Female,Yes,No,No,None,BankTransfer,Month-to-Month,Yes,No,89.14,901.69,8,No
C00046,Male,Yes,No,Yes,ATT,BankTransfer,OneYear,Yes,No,114.35,3551.8,31,No
C00047,Male,No,No,Yes,Other,BankTransfer,Month-to-Month,No,No,104.75,4457.59,42,No
C00048,Female,No,No,Yes,None,CreditCard,OneYear,No,Yes,47.82,1575.28,30,Yes
