fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
8.88,0.5,0.241,3.04,0.1181,13,61,0.9968,3.33,0.466,10.2,4
8.99,0.49,0.191,2.15,0.0766,8,33,0.9964,3.24,0.829,10.8,6
7.27,0.641,0.244,2.03,0.1276,26,49,0.998,3.43,0.634,9.8,4
9.0,0.625,0.195,3.64,0.1039,18,38,0.9977,3.32,0.724,10.1,5
9.92,0.384,0.333,0.83,0.0193,2,17,0.9964,3.15,0.936,12.9,8
7.85,0.429,0.297,2.63,0.063,12,28,0.9971,3.37,0.704,10.5,5
11.17,0.182,0.341,1.58,0.0728,12,38,0.9968,3.16,0.562,11.7,7
8.63,0.957,0.186,2.81,0.0989,24,86,0.9977,3.32,0.558,8.8,3
6.83,0.68,0.173,4.18,0.1249,29,70,0.9982,3.34,0.563,9.2,3
8.04,0.361,0.419,1.48,0.0971,10,20,0.9991,3.34,0.547,10.5,6
10.75,0.44,0.322,1.1,0.0877,13,15,0.9972,3.32,0.684,10.8,6
9.85,0.51,0.253,2.63,0.0431,14,29,0.9982,3.28,0.615,10.5,5
8.56,0.359,0.439,1.34,0.0451,6,6,0.9966,3.32,0.621,11.4,7
8.79,0.35,0.311,2.23,0.06,19,43,0.9964,3.32,0.646,10.7,6
11.9,0.276,0.529,2.09,0.0757,5,41,0.9966,3.05,0.958,11.8,8
9.94,0.349,0.518,2.04,0.0549,1,17,0.9968,3.12,1.147,12.7,8
12.9,0.241,0.294,0.87,0.0646,5,29,0.9961,3.13,1.066,12.9,8
6.51,0.785,0.166,2.12,0.1008,17,38,0.9982,3.37,0.739,9.9,4
8.37,0.515,0.154,2.31,0.0828,16,32,0.998,3.11,0.743,9.7,5
7.9,0.901,0.123,3.53,0.1201,18,79,0.9992,3.5,0.56,8.6,3
8.31,0.854,0.11,2.6,0.1358,24,78,0.9992,3.37,0.502,8.8,3
9.35,0.396,0.322,1.7,0.0382,10,34,0.9965,3.06,0.678,12.2,7
6.43,0.8,0.149,3.53,0.1189,24,64,0.9979,3.44,0.501,9.4,3
9.07,0.304,0.445,1.07,0.0209,9,15,0.9951,3.33,1.051,12.5,7
7.47,0.481,0.17,3.56,0.0983,21,67,0.9977,3.41,0.547,9.9,4
8.63,0.516,0.338,3.47,0.0857,7,87,0.9959,3.28,0.669,10.9,5
10.46,0.406,0.039,2.21,0.0589,18,35,0.9975,3.08,0.682,10.4,5
8.16,0.664,0.202,2.95,0.0886,17,46,0.9961,3.45,0.521,9.0,4
9.22,0.413,0.479,3.24,0.0686,12,32,0.9957,3.29,0.825,11.8,7
11.04,0.389,0.37,0.5,0.0413,9,6,0.995,3.14,1.029,13.0,8
8.33,0.43,0.272,1.45,0.0466,10,52,0.9979,3.36,0.597,10.8,5
11.57,0.129,0.612,1.03,0.0806,4,13,0.9969,3.21,0.854,13.2,8
7.78,0.522,0.262,2.23,0.0911,19,33,0.9976,3.23,0.782,10.4,5
10.68,0.291,0.645,1.88,0.0179,9,28,0.9946,2.99,0.779,13.0,8
9.32,0.739,0.014,3.64,0.1291,23,85,0.9971,3.36,0.463,9.5,3
