CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,19,15,39
2,Male,21,15,81
3,Female,20,16,6
4,Female,23,16,77
5,Female,31,17,40
6,Female,22,17,76
7,Female,35,18,6
8,Female,23,18,94
9,Male,64,19,3
10,Female,30,19,72
11,Male,67,20,5
12,Male,35,20,62
13,Female,58,21,7
14,Female,24,21,59
15,Male,26,22,80
16,Female,27,22,75
17,Male,52,23,4
18,Male,28,23,70
19,Female,30,24,12
20,Female,32,24,68
21,Male,55,25,8
22,Male,33,25,65
23,Female,54,26,10
24,Female,34,26,60
25,Male,29,27,85
26,Male,36,27,55
27,Female,48,28,9
28,Female,37,28,50
29,Male,45,29,15
30,Male,38,29,45
31,Female,44,30,18
32,Female,39,30,42
33,Male,41,31,20
34,Male,40,31,38
35,Female,42,32,22
36,Female,41,32,35
37,Male,39,33,25
38,Male,43,33,30
39,Female,38,34,28
40,Female,44,34,32
41,Male,37,35,35
42,Male,45,35,40
43,Female,36,36,38
44,Female,46,36,42
45,Male,35,37,45
46,Male,47,37,48
47,Female,34,38,50
48,Female,48,38,52
49,Male,33,39,55
50,Male,49,39,58
51,Female,32,40,60
52,Female,50,40,62
53,Male,31,41,65
54,Male,51,41,68
55,Female,30,42,70
56,Female,52,42,72
57,Male,29,43,75
58,Male,53,43,77
59,Female,28,44,80
60,Female,54,44,81
61,Male,27,45,82
62,Male,55,45,83
63,Female,26,46,84
64,Female,56,46,85
65,Male,25,47,86
66,Male,57,47,87
67,Female,24,48,88
68,Female,58,48,89
69,Male,23,49,90
70,Male,59,49,91
71,Female,22,50,92
72,Female,60,50,93
73,Male,21,51,94
74,Male,61,51,95
75,Female,20,52,96
76,Female,62,52,97
77,Male,19,53,98
78,Male,63,53,99
79,Female,25,54,90
80,Female,64,54,88
81,Male,30,55,85
82,Male,65,55,82
83,Female,35,56,78
84,Female,66,56,75
85,Male,40,57,70
86,Male,67,57,65
87,Female,45,58,60
88,Female,68,58,55
89,Male,50,59,50
90,Male,69,59,45
91,Female,55,60,40
92,Female,70,60,35
93,Male,60,61,30
94,Male,71,61,25
95,Female,65,62,20
96,Female,72,62,15
97,Male,70,63,12
98,Male,73,63,10
99,Female,75,64,8
100,Female,74,64,5
101,Male,78,65,3
102,Male,75,65,6
103,Female,80,66,4
104,Female,76,66,7
105,Male,82,67,5
106,Male,77,67,9
107,Female,85,68,3
108,Female,78,68,8
109,Male,88,69,2
110,Male,79,69,11
111,Female,90,70,4
112,Female,80,70,13
113,Male,92,71,6
114,Male,81,71,16
115,Female,95,72,5
116,Female,82,72,18
117,Male,98,73,7
118,Male,83,73,20
119,Female,96,74,9
120,Female,84,74,22
121,Male,93,75,11
122,Male,85,75,24
123,Female,91,76,13
124,Female,86,76,26
125,Male,89,77,15
126,Male,87,77,28
127,Female,94,78,17
128,Female,88,78,30
129,Male,97,79,19
130,Male,89,79,32
131,Female,99,80,21
132,Female,90,80,34
133,Male,86,81,23
134,Male,91,81,36
135,Female,84,82,25
136,Female,92,82,38
137,Male,83,83,27
138,Male,93,83,40
139,Female,82,84,29
140,Female,94,84,42
141,Male,81,85,31
142,Male,95,85,44
143,Female,80,86,33
144,Female,96,86,46
145,Male,79,87,35
146,Male,97,87,48
147,Female,78,88,37
148,Female,98,88,50
149,Male,77,89,39
150,Male,99,89,52
151,Female,76,90,41
152,Female,85,90,54
153,Male,75,91,43
154,Male,84,91,56
155,Female,74,92,45
156,Female,83,92,58
157,Male,73,93,47
158,Male,82,93,60
159,Female,72,94,49
160,Female,81,94,62
161,Male,71,95,51
162,Male,80,95,64
163,Female,70,96,53
164,Female,79,96,66
165,Male,69,97,55
166,Male,78,97,68
167,Female,68,98,57
168,Female,77,98,70
169,Male,67,55,72
170,Male,76,56,74
171,Female,66,57,71
172,Female,75,58,69
173,Male,65,59,66
174,Male,74,60,63
175,Female,64,61,60
176,Female,73,62,58
177,Male,63,63,55
178,Male,72,64,52
179,Female,62,65,49
180,Female,71,66,46
181,Male,61,67,43
182,Male,70,68,40
183,Female,60,69,37
184,Female,69,70,34
185,Male,59,71,31
186,Male,68,72,28
187,Female,58,73,25
188,Female,67,74,22
189,Male,57,75,19
190,Male,66,76,16
191,Female,56,77,13
192,Female,65,78,10
193,Male,55,79,7
194,Male,64,80,4
195,Female,54,81,1
196,Female,63,82,3
197,Male,53,83,5
198,Male,62,84,2
199,Female,52,85,8
200,Male,51,86,6
